feature,importance,fold
CNT_CHILDREN,0.06721438182017925,1
AMT_INCOME_TOTAL,0.5773455135954999,1
AMT_CREDIT,0.8966909227777591,1
AMT_ANNUITY,1.5009831578787196,1
AMT_GOODS_PRICE,1.296881459759694,1
REGION_POPULATION_RELATIVE,0.7338952659556848,1
DAYS_BIRTH,2.1290458447437546,1
DAYS_EMPLOYED,1.2503489316550056,1
DAYS_REGISTRATION,0.8624267115496673,1
DAYS_ID_PUBLISH,0.890960710096743,1
OWN_CAR_AGE,0.6118978809993443,1
FLAG_MOBIL,0.0,1
FLAG_EMP_PHONE,0.05975612390225414,1
FLAG_WORK_PHONE,0.2987283987203204,1
FLAG_CONT_MOBILE,0.006393015545428804,1
FLAG_PHONE,0.08981778436403631,1
FLAG_EMAIL,0.03693739222700579,1
CNT_FAM_MEMBERS,0.09578741309734581,1
REGION_RATING_CLIENT,0.0553921503802598,1
REGION_RATING_CLIENT_W_CITY,0.3330495023758625,1
HOUR_APPR_PROCESS_START,0.3009117139732446,1
REG_REGION_NOT_LIVE_REGION,0.031783884018423685,1
REG_REGION_NOT_WORK_REGION,0.006348436713283428,1
LIVE_REGION_NOT_WORK_REGION,0.021764820567910452,1
REG_CITY_NOT_LIVE_CITY,0.21029745255942192,1
REG_CITY_NOT_WORK_CITY,0.05577437832776101,1
LIVE_CITY_NOT_WORK_CITY,0.03657593624572183,1
EXT_SOURCE_1,3.637035710224366,1
EXT_SOURCE_2,7.239776737862377,1
EXT_SOURCE_3,6.714505186782752,1
APARTMENTS_AVG,0.0885081843040435,1
BASEMENTAREA_AVG,0.05419366653622309,1
YEARS_BEGINEXPLUATATION_AVG,0.12766856094813303,1
YEARS_BUILD_AVG,0.0755634374694921,1
COMMONAREA_AVG,0.10521594052214998,1
ELEVATORS_AVG,0.02844966506105327,1
ENTRANCES_AVG,0.12002610772719408,1
FLOORSMAX_AVG,0.05539025861404837,1
FLOORSMIN_AVG,0.03527665298463207,1
LANDAREA_AVG,0.08200061770873773,1
LIVINGAPARTMENTS_AVG,0.08640365192554174,1
LIVINGAREA_AVG,0.10552592032829719,1
NONLIVINGAPARTMENTS_AVG,0.05550928167902553,1
NONLIVINGAREA_AVG,0.0714886563111208,1
APARTMENTS_MODE,0.17915852692263007,1
BASEMENTAREA_MODE,0.09634930610368589,1
YEARS_BEGINEXPLUATATION_MODE,0.25520133880760265,1
YEARS_BUILD_MODE,0.06737072888718228,1
COMMONAREA_MODE,0.058223581970018236,1
ELEVATORS_MODE,0.03083867604860734,1
ENTRANCES_MODE,0.07674327906183044,1
FLOORSMAX_MODE,0.05172169016141487,1
FLOORSMIN_MODE,0.09806494773828783,1
LANDAREA_MODE,0.1128878728056779,1
LIVINGAPARTMENTS_MODE,0.09167547592006635,1
LIVINGAREA_MODE,0.22704849248149386,1
NONLIVINGAPARTMENTS_MODE,0.08569489051602427,1
NONLIVINGAREA_MODE,0.09475332125139616,1
APARTMENTS_MEDI,0.0727939521167902,1
BASEMENTAREA_MEDI,0.057906752216142214,1
YEARS_BEGINEXPLUATATION_MEDI,0.12568910709088535,1
