feature,importance,fold
CNT_CHILDREN,0.0016589592,1
AMT_INCOME_TOTAL,0.0016926297,1
AMT_CREDIT,0.0019987135,1
AMT_ANNUITY,0.002130282,1
AMT_GOODS_PRICE,0.002258036,1
REGION_POPULATION_RELATIVE,0.0017339857,1
DAYS_BIRTH,0.0022557524,1
DAYS_EMPLOYED,0.0022867094,1
DAYS_REGISTRATION,0.0017322045,1
DAYS_ID_PUBLISH,0.0017496427,1
OWN_CAR_AGE,0.0020901195,1
FLAG_MOBIL,0.0,1
FLAG_EMP_PHONE,0.0018475509,1
FLAG_WORK_PHONE,0.002066047,1
FLAG_CONT_MOBILE,0.0015401375,1
FLAG_PHONE,0.0016318922,1
FLAG_EMAIL,0.0017179118,1
CNT_FAM_MEMBERS,0.0016528434,1
REGION_RATING_CLIENT,0.002179025,1
REGION_RATING_CLIENT_W_CITY,0.0033941765,1
HOUR_APPR_PROCESS_START,0.0016203244,1
REG_REGION_NOT_LIVE_REGION,0.0015825032,1
REG_REGION_NOT_WORK_REGION,0.001618929,1
LIVE_REGION_NOT_WORK_REGION,0.0016708507,1
REG_CITY_NOT_LIVE_CITY,0.0025977157,1
REG_CITY_NOT_WORK_CITY,0.0015901236,1
LIVE_CITY_NOT_WORK_CITY,0.0015686029,1
EXT_SOURCE_1,0.0039456612,1
EXT_SOURCE_2,0.0063402792,1
EXT_SOURCE_3,0.0073632905,1
APARTMENTS_AVG,0.001695912,1
BASEMENTAREA_AVG,0.0017502405,1
YEARS_BEGINEXPLUATATION_AVG,0.0016443084,1
YEARS_BUILD_AVG,0.0015917498,1
COMMONAREA_AVG,0.0017601063,1
ELEVATORS_AVG,0.0018149847,1
ENTRANCES_AVG,0.0016844993,1
FLOORSMAX_AVG,0.0019728167,1
FLOORSMIN_AVG,0.0016951319,1
LANDAREA_AVG,0.0016683395,1
LIVINGAPARTMENTS_AVG,0.0017673719,1
LIVINGAREA_AVG,0.0017347698,1
NONLIVINGAPARTMENTS_AVG,0.0017735659,1
NONLIVINGAREA_AVG,0.001711458,1
APARTMENTS_MODE,0.0017365037,1
BASEMENTAREA_MODE,0.0017054618,1
YEARS_BEGINEXPLUATATION_MODE,0.0017794378,1
YEARS_BUILD_MODE,0.00174246,1
COMMONAREA_MODE,0.0017102949,1
ELEVATORS_MODE,0.0016826441,1
ENTRANCES_MODE,0.0018474695,1
FLOORSMAX_MODE,0.0018137187,1
FLOORSMIN_MODE,0.0020137038,1
LANDAREA_MODE,0.0017096355,1
LIVINGAPARTMENTS_MODE,0.0018144298,1
LIVINGAREA_MODE,0.0017849496,1
NONLIVINGAPARTMENTS_MODE,0.0019412964,1
NONLIVINGAREA_MODE,0.0016943297,1
APARTMENTS_MEDI,0.0017422301,1
BASEMENTAREA_MEDI,0.0018522894,1
YEARS_BEGINEXPLUATATION_MEDI,0.0019651188,1
YEARS_BUILD_MEDI,0.0017651597,1
COMMONAREA_MEDI,0.0018142742,1
ELEVATORS_MEDI,0.0018290754,1
ENTRANCES_MEDI,0.0018296099,1
FLOORSMAX_MEDI,0.0019016864,1
FLOORSMIN_MEDI,0.0018391595,1
LANDAREA_MEDI,0.0018457623,1
LIVINGAPARTMENTS_MEDI,0.0017817647,1
LIVINGAREA_MEDI,0.0019308348,1
NONLIVINGAPARTMENTS_MEDI,0.0016613891,1
NONLIVINGAREA_MEDI,0.0017182629,1
TOTALAREA_MODE,0.0017734156,1
OBS_30_CNT_SOCIAL_CIRCLE,0.001670067,1
DEF_30_CNT_SOCIAL_CIRCLE,0.002850897,1
OBS_60_CNT_SOCIAL_CIRCLE,0.001758146,1
DEF_60_CNT_SOCIAL_CIRCLE,0.0025474604,1
DAYS_LAST_PHONE_CHANGE,0.0017848257,1
FLAG_DOCUMENT_2,0.0,1
FLAG_DOCUMENT_3,0.0043641096,1
FLAG_DOCUMENT_4,0.0,1
FLAG_DOCUMENT_5,0.0013871363,1
FLAG_DOCUMENT_6,0.0016047632,1
FLAG_DOCUMENT_7,0.0,1
FLAG_DOCUMENT_8,0.0015947337,1
FLAG_DOCUMENT_9,0.0013633908,1
FLAG_DOCUMENT_10,0.0,1
FLAG_DOCUMENT_11,0.0015972127,1
FLAG_DOCUMENT_12,0.0,1
FLAG_DOCUMENT_13,0.0015889136,1
FLAG_DOCUMENT_14,0.0015831986,1
FLAG_DOCUMENT_15,0.0010527984,1
FLAG_DOCUMENT_16,0.002033536,1
FLAG_DOCUMENT_17,0.0005302882,1
FLAG_DOCUMENT_18,0.0023763077,1
FLAG_DOCUMENT_19,0.0009869997,1
FLAG_DOCUMENT_20,0.0005276959,1
FLAG_DOCUMENT_21,0.0013991476,1
AMT_REQ_CREDIT_BUREAU_HOUR,0.0014851379,1
AMT_REQ_CREDIT_BUREAU_DAY,0.0015892349,1
AMT_REQ_CREDIT_BUREAU_WEEK,0.001663695,1
AMT_REQ_CREDIT_BUREAU_MON,0.0016485788,1
AMT_REQ_CREDIT_BUREAU_QRT,0.0020459045,1
AMT_REQ_CREDIT_BUREAU_YEAR,0.0016513485,1
CREDIT_INCOME_RATIO,0.0017041536,1
ANNUITY_INCOME_RATIO,0.0018413869,1
CREDIT_TERM,0.0028423285,1
DAYS_EMPLOYED_RATIO,0.0017194226,1
WORKING_INCOME_FLAG,0.0036408587,1
OWN_CAR_AGE_FLAG,0.0028717539,1
NAME_CONTRACT_TYPE_Revolving_loans,0.0036788338,1
NAME_CONTRACT_TYPE_nan,0.0,1
CODE_GENDER_M,0.0061383815,1
CODE_GENDER_XNA,0.0,1
CODE_GENDER_nan,0.0,1
FLAG_OWN_CAR_Y,0.004235034,1
FLAG_OWN_CAR_nan,0.0,1
FLAG_OWN_REALTY_Y,0.0016562232,1
